Framework,Control Name,Control Description,GitHub Check Required
NIST 800-171 Rev 2,3.1.1 (AC-2),Limit system access to authorized users.,Ensure only authorized users can access GitHub repos.
NIST 800-171 Rev 2,3.1.2,Limit access to processes acting on behalf of users.,Restrict workflows to trusted GitHub Actions/runners.
NIST 800-171 Rev 2,3.1.6 (AC-6),Use least privilege.,Review and restrict GitHub team/repo permissions.
NIST 800-171 Rev 2,3.1.18,Control remote access.,Restrict public repos and limit integrations where possible.
NIST 800-171 Rev 2,3.3.1 (AU-2),Create and retain system audit logs.,Enable GitHub audit logging.
NIST 800-171 Rev 2,3.3.2,Trace user actions.,No shared accounts; enforce individual GitHub logins.
NIST 800-171 Rev 2,3.4.6 (CM-3),Change control.,Use PR reviews and branch protection rules.
NIST 800-171 Rev 2,3.5.3 (IA-2),Use multifactor authentication.,Enforce GitHub 2FA for all users.
NIST 800-171 Rev 2,3.5.9,Protect authentication info.,Use GitHub Secrets, not plaintext credentials.
NIST 800-171 Rev 2,3.13.8,Implement boundary protection.,Apply IP allowlists in GitHub Enterprise.
NIST 800-171 Rev 2,3.14.1 (SI-2),Identify and patch flaws.,Enable Dependabot, code scanning, and vulnerability alerts.
NIST 800-53 Rev 5,AC-2,Account Management,Manage and review GitHub user accounts and access rights.
NIST 800-53 Rev 5,AC-3,Access Enforcement,Enforce RBAC and enforce scoped permissions on GitHub.
NIST 800-53 Rev 5,AC-6,Least Privilege,Limit write/admin access to only those who require it.
NIST 800-53 Rev 5,AU-2,Audit Events,Use GitHub Audit Logs (or export logs via API).
NIST 800-53 Rev 5,AU-6,Audit Review,Periodically review GitHub logs for anomalies.
NIST 800-53 Rev 5,CM-3,Configuration Change Control,Enforce pull request workflows and mandatory approvals.
NIST 800-53 Rev 5,CM-6,Least Functionality,Disable unnecessary Actions, bots, or integrations.
NIST 800-53 Rev 5,IR-4,Incident Handling,Cover GitHub compromise in incident response plans.
NIST 800-53 Rev 5,MA-4,Remote Maintenance,Monitor third-party GitHub Apps and integration usage.
NIST 800-53 Rev 5,SC-12,Cryptographic Key Establishment,Store secrets securely in GitHub Actions (not in code).
NIST 800-53 Rev 5,SC-28,Protection of Information at Rest,Avoid storing unencrypted sensitive info in repos.
NIST 800-53 Rev 5,SA-11,Developer Security Testing,Integrate SAST tools into CI/CD pipelines in GitHub.
NIST 800-53 Rev 5,CP-9,Contingency Plan Testing,Implement regular GitHub repository backups and test recovery procedures.
NIST 800-53 Rev 5,CP-10,System Backup,Use GitHub backup tools or services to ensure backup compliance.
NIST 800-53 Rev 5,CM-8,System Component Inventory,Maintain inventory of repos, branches, workflows, and GitHub Apps.
NIST 800-53 Rev 5,PM-1,Security Program Management,Include GitHub usage and governance in your organization's security program.
NIST 800-53 Rev 5,SI-4,System Monitoring,Stream GitHub audit logs to SIEM or monitoring tools.
NIST 800-53 Rev 5,SC-8,Transmission Confidentiality,Use HTTPS/TLS for all GitHub interactions and webhook communications.
NIST 800-53 Rev 5,SA-9,External Software Usage,Assess and audit all third-party GitHub Actions and integrations.
